SaleDate,TotalSales,RunningTotalSales
2010-12-01,58635.56,58635.56
2010-12-02,46207.28,104842.84
2010-12-03,45620.46,150463.3
2010-12-05,31383.95,181847.25
2010-12-06,53860.18,235707.43
2010-12-07,45059.05,280766.48
2010-12-08,44189.84,324956.32
2010-12-09,52532.13,377488.45
2010-12-10,57404.91,434893.36
2010-12-12,17240.92,452134.28
2010-12-13,35379.34,487513.62
2010-12-14,42843.29,530356.91
2010-12-15,29443.69,559800.6
2010-12-16,48334.35,608134.95
2010-12-17,43534.19,651669.14
2010-12-19,7517.31,659186.45
2010-12-20,24741.75,683928.2
2010-12-21,47097.94,731026.14
2010-12-22,6134.57,737160.71
2010-12-23,11796.31,748957.02
2011-01-04,14950.48,763907.5
2011-01-05,-1566.23,762341.27
2011-01-06,37392.74,799734.01
2011-01-07,27233.14,826967.15
2011-01-09,15710.8,842677.95
2011-01-10,24191.64,866869.59
2011-01-11,67817.13,934686.72
2011-01-12,23958.78,958645.5
2011-01-13,20533.54,979179.04
2011-01-14,47377.26,1026556.3
2011-01-16,7116.61,1033672.91
2011-01-17,29256.0,1062928.91
2011-01-18,18680.8,1081609.71
2011-01-19,25585.81,1107195.52
2011-01-20,17995.91,1125191.43
2011-01-21,31978.44,1157169.87
2011-01-23,10285.95,1167455.82
2011-01-24,25555.62,1193011.44
2011-01-25,27971.52,1220982.96
2011-01-26,19493.32,1240476.28
2011-01-27,21092.14,1261568.42
2011-01-28,18567.77,1280136.19
2011-01-30,6456.44,1286592.63
2011-01-31,22364.65,1308957.28
2011-02-01,28433.22,1337390.5
2011-02-02,21048.45,1358438.95
2011-02-03,23344.58,1381783.53
2011-02-04,24994.17,1406777.7
2011-02-06,3457.11,1410234.81
2011-02-07,25525.99,1435760.8
2011-02-08,20728.14,1456488.94
2011-02-09,16692.58,1473181.52
2011-02-10,13427.54,1486609.06
2011-02-11,20387.28,1506996.34
2011-02-13,5535.4,1512531.74
2011-02-14,26222.03,1538753.77
2011-02-15,36842.58,1575596.35
2011-02-16,24730.81,1600327.16
2011-02-17,26361.87,1626689.03
2011-02-18,15928.4,1642617.43
2011-02-20,9578.89,1652196.32
2011-02-21,23807.83,1676004.15
2011-02-22,32292.62,1708296.77
2011-02-23,26792.76,1735089.53
2011-02-24,22655.83,1757745.36
2011-02-25,18029.84,1775775.2
2011-02-27,9491.05,1785266.25
2011-02-28,21753.68,1807019.93
2011-03-01,25471.71,1832491.64
2011-03-02,18296.45,1850788.09
2011-03-03,35842.62,1886630.71
2011-03-04,19474.87,1906105.58
2011-03-06,9596.23,1915701.81
2011-03-07,30525.58,1946227.39
2011-03-08,25017.47,1971244.86
2011-03-09,21907.12,1993151.98
2011-03-10,25597.89,2018749.87
2011-03-11,21995.28,2040745.15
2011-03-13,4137.62,2044882.77
2011-03-14,25864.59,2070747.36
2011-03-15,20660.03,2091407.39
2011-03-16,21182.64,2112590.03
2011-03-17,38804.25,2151394.28
2011-03-18,16770.46,2168164.74
2011-03-20,21980.64,2190145.38
2011-03-21,16370.27,2206515.65
2011-03-22,31312.35,2237828.0
2011-03-23,24029.07,2261857.07
2011-03-24,36562.1,2298419.17
2011-03-25,30656.03,2329075.2
2011-03-27,8979.98,2338055.18
2011-03-28,19207.03,2357262.21
2011-03-29,70531.47,2427793.68
2011-03-30,31489.25,2459282.93
2011-03-31,31004.08,2490287.01
2011-04-01,24391.78,2514678.79
2011-04-03,6878.1,2521556.89
2011-04-04,25073.02,2546629.91
2011-04-05,28353.83,2574983.74
2011-04-06,17279.35,2592263.09
2011-04-07,18229.0,2610492.09
2011-04-08,23299.14,2633791.23
2011-04-10,9363.88,2643155.11
2011-04-11,22110.31,2665265.42
2011-04-12,25124.25,2690389.67
2011-04-13,23898.2,2714287.87
2011-04-14,35295.58,2749583.45
2011-04-15,28327.131,2777910.581
2011-04-17,12704.3,2790614.881
2011-04-18,32185.61,2822800.491
2011-04-19,23837.65,2846638.141
2011-04-20,28239.39,2874877.531
2011-04-21,31198.6,2906076.131
2011-04-26,30585.54,2936661.671
2011-04-27,25590.56,2962252.231
2011-04-28,21241.9,2983494.131
2011-05-01,6964.66,2990458.791
2011-05-03,19617.86,3010076.651
2011-05-04,27462.3,3037538.951
2011-05-05,28750.65,3066289.601
2011-05-06,35714.58,3102004.181
2011-05-08,18808.92,3120813.101
2011-05-09,26060.43,3146873.531
2011-05-10,45564.12,3192437.651
2011-05-11,33240.36,3225678.011
2011-05-12,59911.97,3285589.981
2011-05-13,30744.07,3316334.051
2011-05-15,9924.28,3326258.331
2011-05-16,25279.77,3351538.101
2011-05-17,53603.83,3405141.931
2011-05-18,34337.29,3439479.221
2011-05-19,34348.75,3473827.971
2011-05-20,26256.52,3500084.491
2011-05-22,24205.37,3524289.861
2011-05-23,30739.55,3555029.411
2011-05-24,37028.91,3592058.321
2011-05-25,24152.28,3616210.601
2011-05-26,33208.59,3649419.191
2011-05-27,28232.19,3677651.381
2011-05-29,7208.3,3684859.681
2011-05-31,21967.96,3706827.641
2011-06-01,20191.2,3727018.841
2011-06-02,32502.01,3759520.851
2011-06-03,16751.0,3776271.851
2011-06-05,25520.35,3801792.201
2011-06-06,16791.39,3818583.591
2011-06-07,37644.3,3856227.891
2011-06-08,42940.91,3899168.801
2011-06-09,45515.75,3944684.551
2011-06-10,22540.66,3967225.211
2011-06-12,12483.86,3979709.071
2011-06-13,20372.93,4000082.001
2011-06-14,40211.93,4040293.931
2011-06-15,46139.18,4086433.111
2011-06-16,34131.73,4120564.841
2011-06-17,20800.72,4141365.561
2011-06-19,22360.01,4163725.571
2011-06-20,33493.4,4197218.971
2011-06-21,22730.01,4219948.981
2011-06-22,21794.94,4241743.921
2011-06-23,24273.31,4266017.231
2011-06-24,8619.88,4274637.111
2011-06-26,6175.17,4280812.281
2011-06-27,16823.86,4297636.141
2011-06-28,34704.64,4332340.781
2011-06-29,21775.43,4354116.211
2011-06-30,43834.55,4397950.761
2011-07-01,13171.82,4411122.581
2011-07-03,5977.14,4417099.721
2011-07-04,44154.75,4461254.471
2011-07-05,40334.97,4501589.441
2011-07-06,26279.58,4527869.021
2011-07-07,31357.72,4559226.741
2011-07-08,26840.08,4586066.821
2011-07-10,5692.07,4591758.891
2011-07-11,22429.53,4614188.421
2011-07-12,25892.04,4640080.461
2011-07-13,11612.05,4651692.511
2011-07-14,32575.96,4684268.471
2011-07-15,14478.93,4698747.401
2011-07-17,17174.66,4715922.061
2011-07-18,28443.27,4744365.331
2011-07-19,49316.78,4793682.111
2011-07-20,27305.41,4820987.521
2011-07-21,30957.07,4851944.591
2011-07-22,20015.23,4871959.821
2011-07-24,26476.2,4898436.021
2011-07-25,26687.65,4925123.671
2011-07-26,21271.301,4946394.972
2011-07-27,25568.45,4971963.422
2011-07-28,55706.88,5027670.302
2011-07-29,18094.21,5045764.512
2011-07-31,33486.36,5079250.872
2011-08-01,21362.84,5100613.712
2011-08-02,14947.27,5115560.982
2011-08-03,27075.02,5142636.002
2011-08-04,61028.65,5203664.652
2011-08-05,21298.3,5224962.952
2011-08-07,7464.12,5232427.072
2011-08-08,19987.15,5252414.222
2011-08-09,26623.2,5279037.422
2011-08-10,27474.22,5306511.642
2011-08-11,72132.79,5378644.432
2011-08-12,10049.48,5388693.912
2011-08-14,5150.18,5393844.092
2011-08-15,17205.54,5411049.632
2011-08-16,19103.71,5430153.342
2011-08-17,49392.22,5479545.562
2011-08-18,53225.67,5532771.232
2011-08-19,17248.54,5550019.772
2011-08-21,14549.21,5564568.982
2011-08-22,27978.41,5592547.392
2011-08-23,25756.3,5618303.692
2011-08-24,37074.9,5655378.592
2011-08-25,22458.88,5677837.472
2011-08-26,25550.23,5703387.702
2011-08-28,10784.78,5714172.482
2011-08-30,31640.9,5745813.382
2011-08-31,16118.0,5761931.382
2011-09-01,37296.6,5799227.982
2011-09-02,41745.07,5840973.052
2011-09-04,17018.49,5857991.542
2011-09-05,36844.04,5894835.582
2011-09-06,28052.62,5922888.202
2011-09-07,34125.65,5957013.852
2011-09-08,26708.0,5983721.852
2011-09-09,29317.69,6013039.542
2011-09-11,35465.47,6048505.012
2011-09-12,29039.31,6077544.322
2011-09-13,54828.45,6132372.772
2011-09-14,23360.66,6155733.432
2011-09-15,62943.81,6218677.242
2011-09-16,25858.06,6244535.302
2011-09-18,15692.33,6260227.632
2011-09-19,46212.21,6306439.842
2011-09-20,109286.21,6415726.052
2011-09-21,42944.07,6458670.122
2011-09-22,57076.83,6515746.952
2011-09-23,39426.48,6555173.432
2011-09-25,31210.921,6586384.353
2011-09-26,28642.271,6615026.624
2011-09-27,35752.16,6650778.784
2011-09-28,43383.04,6694161.824
2011-09-29,43464.33,6737626.154
2011-09-30,43992.85,6781619.004
2011-10-02,11623.58,6793242.584
2011-10-03,64214.78,6857457.364
2011-10-04,48240.84,6905698.204
2011-10-05,75244.43,6980942.634
2011-10-06,55306.28,7036248.914
2011-10-07,47538.02,7083786.934
2011-10-09,11922.24,7095709.174
2011-10-10,44265.89,7139975.064
2011-10-11,38267.75,7178242.814
2011-10-12,29302.85,7207545.664
2011-10-13,37067.17,7244612.834
2011-10-14,35225.54,7279838.374
2011-10-16,21605.44,7301443.814
2011-10-17,47064.14,7348507.954
2011-10-18,44637.84,7393145.794
2011-10-19,36003.43,7429149.224
2011-10-20,60793.14,7489942.364
2011-10-21,62961.26,7552903.624
2011-10-23,12302.41,7565206.034
2011-10-24,38407.72,7603613.754
2011-10-25,40807.49,7644421.244
2011-10-26,37842.08,7682263.324
2011-10-27,47480.15,7729743.474
2011-10-28,39559.47,7769302.944
2011-10-30,34545.28,7803848.224
2011-10-31,48475.45,7852323.674
2011-11-01,28741.55,7881065.224
2011-11-02,45239.06,7926304.284
2011-11-03,62816.55,7989120.834
2011-11-04,60081.76,8049202.594
2011-11-06,42912.4,8092114.994
2011-11-07,70001.08,8162116.074
2011-11-08,56647.66,8218763.734
2011-11-09,62599.43,8281363.164
2011-11-10,68956.24,8350319.404
2011-11-11,54835.51,8405154.914
2011-11-13,33520.22,8438675.134
2011-11-14,112141.11,8550816.244
2011-11-15,60594.23,8611410.474
2011-11-16,64408.7,8675819.174
2011-11-17,60329.72,8736148.894
2011-11-18,48031.8,8784180.694
2011-11-20,34902.01,8819082.704
2011-11-21,48302.5,8867385.204
2011-11-22,62307.32,8929692.524
2011-11-23,78480.7,9008173.224
2011-11-24,48080.28,9056253.504
2011-11-25,50442.72,9106696.224
2011-11-27,20571.5,9127267.724
2011-11-28,55442.02,9182709.744
2011-11-29,72219.2,9254928.944
2011-11-30,59150.98,9314079.924
2011-12-01,51410.95,9365490.874
2011-12-02,57086.06,9422576.934
2011-12-04,24565.78,9447142.714
2011-12-05,57751.32,9504894.034
2011-12-06,54228.37,9559122.404
2011-12-07,75076.22,9634198.624
2011-12-08,81417.78,9715616.404
2011-12-09,32131.53,9747747.934

Country,TotalItemsSold,CountryRank
United Kingdom,4263829,1
Netherlands,200128,2
EIRE,142637,3
Germany,117448,4
France,110480,5
Australia,83653,6
Sweden,35637,7
Switzerland,30325,8
Spain,26824,9
Japan,25218,10
Belgium,23152,11
Norway,19247,12
Portugal,16180,13
Finland,10666,14
Channel Islands,9479,15
Denmark,8188,16
Italy,7999,17
Cyprus,6317,18
Singapore,5234,19
Austria,4827,20
Hong Kong,4769,21
Israel,4353,22
Poland,3653,23
Unspecified,3300,24
Canada,2763,25
Iceland,2458,26
Greece,1556,27
USA,1034,28
United Arab Emirates,982,29
Malta,944,30
Lithuania,652,31
Czech Republic,592,32
European Community,497,33
Lebanon,386,34
Brazil,356,35
RSA,352,36
Bahrain,260,37
Saudi Arabia,75,38
